"sample_ID,N,10,0","COUNT,N,10,0","AREA,N,19,11","MIN,N,19,11","MAX,N,19,11","RANGE,N,19,11","MEAN,N,19,11","STD,N,19,11","SUM,N,19,11"
269,1,1000000,0.41565282,0.41565282,0,0.41565282,0,0.41565282
270,1,1000000,0.744409639,0.744409639,0,0.744409639,0,0.744409639
271,1,1000000,0.615075004,0.615075004,0,0.615075004,0,0.615075004
275,1,1000000,0.801970752,0.801970752,0,0.801970752,0,0.801970752
277,1,1000000,0.591931568,0.591931568,0,0.591931568,0,0.591931568
278,1,1000000,0.547303882,0.547303882,0,0.547303882,0,0.547303882
280,1,1000000,0.614087834,0.614087834,0,0.614087834,0,0.614087834
281,1,1000000,0.712699205,0.712699205,0,0.712699205,0,0.712699205
282,1,1000000,0.777294245,0.777294245,0,0.777294245,0,0.777294245
283,1,1000000,0.757099466,0.757099466,0,0.757099466,0,0.757099466
284,1,1000000,0.781035288,0.781035288,0,0.781035288,0,0.781035288
285,1,1000000,0.62836277,0.62836277,0,0.62836277,0,0.62836277
286,1,1000000,0.741079277,0.741079277,0,0.741079277,0,0.741079277
287,1,1000000,0.378755154,0.378755154,0,0.378755154,0,0.378755154
288,1,1000000,0.584920979,0.584920979,0,0.584920979,0,0.584920979
289,1,1000000,0.729797169,0.729797169,0,0.729797169,0,0.729797169
290,1,1000000,0.716112054,0.716112054,0,0.716112054,0,0.716112054
292,1,1000000,0.758403152,0.758403152,0,0.758403152,0,0.758403152
293,1,1000000,0.41117225,0.41117225,0,0.41117225,0,0.41117225
294,1,1000000,0.145775684,0.145775684,0,0.145775684,0,0.145775684
295,1,1000000,0.157822098,0.157822098,0,0.157822098,0,0.157822098
296,1,1000000,0.693327445,0.693327445,0,0.693327445,0,0.693327445
297,1,1000000,0.267416064,0.267416064,0,0.267416064,0,0.267416064
298,1,1000000,0.684081687,0.684081687,0,0.684081687,0,0.684081687
299,1,1000000,0.74935022,0.74935022,0,0.74935022,0,0.74935022
300,1,1000000,0.745505061,0.745505061,0,0.745505061,0,0.745505061
301,1,1000000,0.684186333,0.684186333,0,0.684186333,0,0.684186333
302,1,1000000,0.666330516,0.666330516,0,0.666330516,0,0.666330516
